Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,distan_parkKM,dist_schoolKM,NPisos,Estado,id,Realtor
230544810,6390,281152,SanBernardo,VolcánPomerape.,3,2,83,750,6,"0,8","0,2",2,1,10957028,Propiedades Abarca
164159450,4550,200194,Quilicura,ValleLoCampino,3,2,88,128,3,"1,1","0,2",1,0,11981386,Propital
83600000,2317,101951,SanBernardo,ProfesoraEvaÁvila,4,1,83,76,1,"2,2","0,4",2,0,16085876,Balance
165000000,4573,201220,PuenteAlto,AvenidaLasVizcachas,3,3,105,130,2,"1,1","0,2",1,1,16000362,Alessandro Matteucci Cajas
400476900,11100,488386,QuintaNormal,Hoevel4548y4558,7,4,384,732,3,"0,5","0,1",3,1,11700213,
266984600,7400,325591,Buin,Linderos,4,3,110,256,4,"0,7","0,1",2,0,15963666,
170000000,4712,207317,Conchalí,Nilahue,6,2,,,,"1,1","0,2",1,1,11608988,Kvs properties
90000000,2495,109756,ElBosque,Verdi,4,2,,85,,"2,0","0,4",3,1,11608956,Kvs properties
544792900,15100,664382,ElBosque,Gral.Körner330,3,1,90,1640,3,"0,3","0,1",2,0,14144830,Punto Exacto Corredora de Propiedades Ltda.
65500000,1815,79878,Paine,ParqueNacionalAltosdeLircay,2,1,54,97,1,"2,8","0,6",1,1,11029691,
577264000,16000,703980,Independencia,Av.FermínVivaceta2446,4,2,186,527,3,"0,3","0,1",2,0,12209528,Cadepar Propiedades SpA
100000000,2772,121951,PedroAguirreCerda,PasajeOchoNorte,4,1,154,196,1,"1,8","0,4",1,0,15368822,
299000000,8287,364634,LaFlorida,¡Miraesto!¡Esespectacular!RojasMagallanes,4,4,177,259,3,"0,6","0,1",3,1,4870914,Punto Exacto Corredora de Propiedades Ltda.
210000000,5821,256098,SanMiguel,RamónBarrosLuco4061,4,2,112,154,2,"0,9","0,2",2,1,15201226,
70000000,1940,85366,ElBosque,pasajeelhierro920,3,1,113,113,,"2,6","0,5",3,1,15481583,
290000000,8038,353659,Macul,Ellíbano,3,2,,328,3,"0,6","0,1",1,1,15067807,
115000000,3187,140244,Maipú,1deMayo,4,2,85,110,2,"1,6","0,3",2,0,15328607,
146119950,4050,178195,SanBernardo,LaEncinaNte.850,4,3,110,180,2,"1,2","0,2",3,0,15235604,Rodrigo Cañas de la Cerda Propiedades
